"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator install package","DESKTOP","esp","Spain",0,1,0,43
2017-03-01,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,24
2017-03-15,"http://getoptimise.com/blog/google-analytics/google-analytics-custom-reports-for-e-commerce-site/","analytics custom reports","DESKTOP","bra","Brazil",0,1,0,109
2017-03-07,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,58
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs python the difference","DESKTOP","usa","United States",0,1,0,44
2017-03-02,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","chn","China",0,1,0,21
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","col","Colombia",0,1,0,46
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","rstudio anaconda","DESKTOP","chn","China",0,1,0,37
2017-02-27,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,53
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,44
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,22
2017-02-27,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model excel","DESKTOP","swe","Sweden",0,1,0,43
2017-03-11,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","usa","United States",0,1,0,15
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","rus","Russian Federation",0,1,0,47
2017-03-16,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","MOBILE","ind","India",0,1,0,9
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","col","Colombia",0,1,0,33
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","blr","Belarus",0,1,0,45
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda-navigator","DESKTOP","usa","United States",0,1,0,54
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,26
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","usa","United States",0,1,0,44
2017-02-27,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","MOBILE","phl","Philippines",0,1,0,12
2017-03-01,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","usa","United States",0,1,0,9
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator update packages","DESKTOP","chn","China",0,1,0,42
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","usa","United States",0,1,0,39
2017-03-11,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","david donoho 50 years of data science","DESKTOP","chn","China",0,1,0,15
2017-03-02,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","ind","India",0,1,0,10
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between miniconda and anaconda","DESKTOP","tun","Tunisia",0,1,0,9
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","ind","India",0,1,0,11
